 MYSTICAL1_xxGUARDLEVY_ORD:0 "$O$ Guard Levy"
 MYSTICAL1_xxKNIGHTLEVY_ORD:0 "$O$ Knight Levy"
 MYSTICAL1_xxYEOMENLEVY_ORD:0 "$O$ Yeomen Levy"
 MYSTICAL1_xxRISENLEVY_ORD:0 "$O$ Risen Levy"
 MYSTICAL1_xxTWINLEVY_ORD:0 "$O$ Twin Levy"
 MYSTICAL1_xxSOULLESSKNIGHTLEVY_ORD:0 "$O$ Soulless Knight Levy"
 MYSTICAL1_xxSOULLESSGUARDLEVY_ORD:0 "$O$ Soulless Guard Levy"
 MYSTICAL1_xxENLIGHTENEDLEVY_ORD:0 "$O$ Enlightened Levy"
 MYSTICAL1_xxTERRORLEVY_ORD:0 "$O$ Terror Levy"
 MYSTICAL1_xxIMBUEDLEVY_ORD:0 "$O$ Imbued Levy"
 MYSTICAL1_xxPEACEKEEPINGLEVY_ORD:0 "$O$ Peacekeeping Levy"
 MYSTICAL1_xxMYSTICAL1_xxSOULLESSPEACEKEEPINGLEVY_ORD:0 "$O$ Soulless Peacekeeping Levy"
 MYSTICAL1_xxSPEARLEVY_ORD:0 "$O$ Spear Levy"
 MYSTICAL1_xxLONGBOWLEVY_ORD:0 "$O$ Lowbow Levy"
 MYSTICAL1_xxLANCERLEVY_ORD:0 "$O$ Lancer Levy"
