 MYSTICAL1_CHR_EyesofGold:0 "Eyes of Gold"
 MYSTICAL1_CHR_EyesofStone:0 "Eyes of Stone"
 MYSTICAL1_CHR_EyesinBeginning:0 "Eyes in Beginning"
 MYSTICAL1_CHR_EyesinSilver:0 "Eyes in Silver"
 MYSTICAL1_CHR_EyeswithDarkness:0 "Eyes with Darkness"
 MYSTICAL1_CHR_EyesfromallwhoFind:0 "Eyes from all who Find"
 MYSTICAL1_CHR_FriendsoftheDawn:0 "Friends of the Dawn"
 MYSTICAL1_CHR_FriendsoftheEnd:0 "Friends of the End"
 MYSTICAL1_CHR_FriendsofthosewhoSeek:0 "Friends of those who Seek"
 MYSTICAL1_CHR_FriendsoftheFlame:0 "Friends of the Flame"
 MYSTICAL1_CHR_FriendsinGold:0 "Friends in Gold"
 MYSTICAL1_CHR_FriendsinBeginning:0 "Friends in Beginning"
 MYSTICAL1_CHR_FriendsintheFound:0 "Friends in the Found"
 MYSTICAL1_CHR_FriendsinStone:0 "Friends in Stone"
 MYSTICAL1_CHR_FriendsinGems:0 "Friends in Gems"
 MYSTICAL1_CHR_FriendswithDarkness:0 "Friends with Darkness"
 MYSTICAL1_CHR_FriendswithBeginning:0 "Friends with Beginning"
 MYSTICAL1_CHR_FriendswithQueens:0 "Friends with Queens"
 MYSTICAL1_CHR_FriendswiththeFound:0 "Friends with the Found"
 MYSTICAL1_CHR_FriendsaboveGold:0 "Friends above Gold"
 MYSTICAL1_CHR_FriendsaboveBeginning:0 "Friends above Beginning"
 MYSTICAL1_CHR_FriendsabovetheFlame:0 "Friends above the Flame"
 MYSTICAL1_CHR_FriendsbeforeallwhoFind:0 "Friends before all who Find"
 MYSTICAL1_CHR_FriendsfromtheDawn:0 "Friends from the Dawn"
 MYSTICAL1_CHR_FriendsfromtheEnd:0 "Friends from the End"
 MYSTICAL1_CHR_FriendsfromGems:0 "Friends from Gems"
 MYSTICAL1_CHR_SunofGems:0 "Sun of Gems"
 MYSTICAL1_CHR_SunofthosewhoSeek:0 "Sun of those who Seek"
 MYSTICAL1_CHR_SuninKings:0 "Sun in Kings"
 MYSTICAL1_CHR_SuninthePrepared:0 "Sun in the Prepared"
 MYSTICAL1_CHR_SunwithQueens:0 "Sun with Queens"
 MYSTICAL1_CHR_SunwithGems:0 "Sun with Gems"
 MYSTICAL1_CHR_SunabovetheEnd:0 "Sun above the End"
 MYSTICAL1_CHR_SunaboveGems:0 "Sun above Gems"
 MYSTICAL1_CHR_SunbeforetheDawn:0 "Sun before the Dawn"
 MYSTICAL1_CHR_SunbeforetheEnd:0 "Sun before the End"
 MYSTICAL1_CHR_SunbeforeGems:0 "Sun before Gems"
 MYSTICAL1_CHR_SunbeforethosewhoSeek:0 "Sun before those who Seek"
 MYSTICAL1_CHR_RulerofSilver:0 "Ruler of Silver"
 MYSTICAL1_CHR_RuleroftheFound:0 "Ruler of the Found"
 MYSTICAL1_CHR_RulerwithGems:0 "Ruler with Gems"
 MYSTICAL1_CHR_RulerbeforetheFound:0 "Ruler before the Found"
 MYSTICAL1_CHR_RulerbeforetheFlame:0 "Ruler before the Flame"
 MYSTICAL1_CHR_HandofGold:0 "Hand of Gold"
 MYSTICAL1_CHR_HandofKings:0 "Hand of Kings"
 MYSTICAL1_CHR_HandintheFound:0 "Hand in the Found"
 MYSTICAL1_CHR_HandwithBeginning:0 "Hand with Beginning"
 MYSTICAL1_CHR_HandaboveGold:0 "Hand above Gold"
 MYSTICAL1_CHR_HandaboveQueens:0 "Hand above Queens"
 MYSTICAL1_CHR_HandabovetheFlame:0 "Hand above the Flame"
 MYSTICAL1_CHR_HandbeforetheEnd:0 "Hand before the End"
 MYSTICAL1_CHR_HandbeforeBeginning:0 "Hand before Beginning"
 MYSTICAL1_CHR_FearoftheEnd:0 "Fear of the End"
 MYSTICAL1_CHR_FearofStone:0 "Fear of Stone"
 MYSTICAL1_CHR_FearbeforeQueens:0 "Fear before Queens"
 MYSTICAL1_CHR_FearbeforetheFlame:0 "Fear before the Flame"
 MYSTICAL1_CHR_DawnofthePrepared:0 "Dawn of the Prepared"
 MYSTICAL1_CHR_DawninGold:0 "Dawn in Gold"
 MYSTICAL1_CHR_DawnwithGold:0 "Dawn with Gold"
 MYSTICAL1_CHR_DawnaboveBeginning:0 "Dawn above Beginning"
 MYSTICAL1_CHR_DawnbeforetheDawn:0 "Dawn before the Dawn"
 MYSTICAL1_CHR_DawnbeforeKings:0 "Dawn before Kings"
 MYSTICAL1_CHR_DawnbeforethosewhoSeek:0 "Dawn before those who Seek"
 MYSTICAL1_CHR_DawnfromFoundations:0 "Dawn from Foundations"
 MYSTICAL1_CHR_DawnfromQueens:0 "Dawn from Queens"
 MYSTICAL1_CHR_DawnfromtheFound:0 "Dawn from the Found"
 MYSTICAL1_CHR_DawnfromthePrepared:0 "Dawn from the Prepared"
 MYSTICAL1_CHR_EventideofFoundations:0 "Eventide of Foundations"
 MYSTICAL1_CHR_EventideofthePrepared:0 "Eventide of the Prepared"
 MYSTICAL1_CHR_EventideaboveFoundations:0 "Eventide above Foundations"
 MYSTICAL1_CHR_EventideabovethePrepared:0 "Eventide above the Prepared"
 MYSTICAL1_CHR_EventideaboveallwhoFind:0 "Eventide above all who Find"
 MYSTICAL1_CHR_EventidebeforeDarkness:0 "Eventide before Darkness"
 MYSTICAL1_CHR_EventidebeforeKings:0 "Eventide before Kings"
 MYSTICAL1_CHR_EventidefromtheFound:0 "Eventide from the Found"
 MYSTICAL1_CHR_EventidefromallwhoFind:0 "Eventide from all who Find"
 MYSTICAL1_CHR_ScentwithStone:0 "Scent with Stone"
 MYSTICAL1_CHR_ScentwithGems:0 "Scent with Gems"
 MYSTICAL1_CHR_ScentwithallwhoFind:0 "Scent with all who Find"
 MYSTICAL1_CHR_ScentaboveKings:0 "Scent above Kings"
 MYSTICAL1_CHR_ScentfromQueens:0 "Scent from Queens"
 MYSTICAL1_CHR_TroubleoftheFound:0 "Trouble of the Found"
 MYSTICAL1_CHR_TroubleoftheFlame:0 "Trouble of the Flame"
 MYSTICAL1_CHR_TroubleinGold:0 "Trouble in Gold"
 MYSTICAL1_CHR_TroublewithDarkness:0 "Trouble with Darkness"
 MYSTICAL1_CHR_TroublewiththeEnd:0 "Trouble with the End"
 MYSTICAL1_CHR_TroublewithBeginning:0 "Trouble with Beginning"
 MYSTICAL1_CHR_TroublewiththePrepared:0 "Trouble with the Prepared"
 MYSTICAL1_CHR_TroubleaboveKings:0 "Trouble above Kings"
 MYSTICAL1_CHR_TroubleabovethePrepared:0 "Trouble above the Prepared"
 MYSTICAL1_CHR_TroublebeforethosewhoSeek:0 "Trouble before those who Seek"
 MYSTICAL1_CHR_TroublebeforeallwhoFind:0 "Trouble before all who Find"
 MYSTICAL1_CHR_TroublefromtheDawn:0 "Trouble from the Dawn"
