 MYSTICAL1_CLASS_﻿Azurite:0 "﻿Azurite"
 MYSTICAL1_CLASS_Adamite:0 "Adamite"
 MYSTICAL1_CLASS_Apatite:0 "Apatite"
 MYSTICAL1_CLASS_Agardite:0 "Agardite"
 MYSTICAL1_CLASS_Ammolite:0 "Ammolite"
 MYSTICAL1_CLASS_Avalite:0 "Avalite"
 MYSTICAL1_CLASS_Allanite:0 "Allanite"
 MYSTICAL1_CLASS_Augite:0 "Augite"
 MYSTICAL1_CLASS_Boleite:0 "Boleite"
 MYSTICAL1_CLASS_Brookite:0 "Brookite"
 MYSTICAL1_CLASS_Barite:0 "Barite"
 MYSTICAL1_CLASS_Bauxite:0 "Bauxite"
 MYSTICAL1_CLASS_Bismite:0 "Bismite"
 MYSTICAL1_CLASS_Brassite:0 "Brassite"
 MYSTICAL1_CLASS_Bronzite:0 "Bronzite"
 MYSTICAL1_CLASS_Celestite:0 "Celestite"
 MYSTICAL1_CLASS_Cryolite:0 "Cryolite"
 MYSTICAL1_CLASS_Carrolite:0 "Carrolite"
 MYSTICAL1_CLASS_Coffinite:0 "Coffinite"
 MYSTICAL1_CLASS_Cupalite:0 "Cupalite"
 MYSTICAL1_CLASS_Curite:0 "Curite"
 MYSTICAL1_CLASS_Dolomite:0 "Dolomite"
 MYSTICAL1_CLASS_Danalite:0 "Danalite"
 MYSTICAL1_CLASS_Eveite:0 "Eveite"
 MYSTICAL1_CLASS_Forsterite:0 "Forsterite"
 MYSTICAL1_CLASS_Fornacite:0 "Fornacite"
 MYSTICAL1_CLASS_Galaxite:0 "Galaxite"
 MYSTICAL1_CLASS_Gialite:0 "Gialite"
 MYSTICAL1_CLASS_Glessite:0 "Glessite"
 MYSTICAL1_CLASS_Gahnite:0 "Gahnite"
 MYSTICAL1_CLASS_Goethite:0 "Goethite"
 MYSTICAL1_CLASS_Howlite:0 "Howlite"
 MYSTICAL1_CLASS_Hopeite:0 "Hopeite"
 MYSTICAL1_CLASS_Huntite:0 "Huntite"
 MYSTICAL1_CLASS_Humite:0 "Humite"
 MYSTICAL1_CLASS_Indite:0 "Indite"
 MYSTICAL1_CLASS_Kobellite:0 "Kobellite"
 MYSTICAL1_CLASS_Kalinite:0 "Kalinite"
 MYSTICAL1_CLASS_Keyite:0 "Keyite"
 MYSTICAL1_CLASS_Lazurite:0 "Lazurite"
 MYSTICAL1_CLASS_Langite:0 "Langite"
 MYSTICAL1_CLASS_Leucite:0 "Leucite"
 MYSTICAL1_CLASS_Microlite:0 "Microlite"
 MYSTICAL1_CLASS_Maricite:0 "Maricite"
 MYSTICAL1_CLASS_Morganite:0 "Morganite"
 MYSTICAL1_CLASS_Natrolite:0 "Natrolite"
 MYSTICAL1_CLASS_Nobleite:0 "Nobleite"
 MYSTICAL1_CLASS_Okenite:0 "Okenite"
 MYSTICAL1_CLASS_Pigeonite:0 "Pigeonite"
 MYSTICAL1_CLASS_Painite:0 "Painite"
 MYSTICAL1_CLASS_Pyrite:0 "Pyrite"
 MYSTICAL1_CLASS_Rhenite:0 "Rhenite"
 MYSTICAL1_CLASS_Raspite:0 "Raspite"
 MYSTICAL1_CLASS_Sylvanite:0 "Sylvanite"
 MYSTICAL1_CLASS_Santite:0 "Santite"
 MYSTICAL1_CLASS_Studtite:0 "Studtite"
 MYSTICAL1_CLASS_Selenite:0 "Selenite"
 MYSTICAL1_CLASS_Sphalerite:0 "Sphalerite"
 MYSTICAL1_CLASS_Thaumasite:0 "Thaumasite"
 MYSTICAL1_CLASS_Titanite:0 "Titanite"
 MYSTICAL1_CLASS_Tenorite:0 "Tenorite"
 MYSTICAL1_CLASS_Thorite:0 "Thorite"
 MYSTICAL1_CLASS_Tantite:0 "Tantite"
 MYSTICAL1_CLASS_Vulcanite:0 "Vulcanite"
 MYSTICAL1_CLASS_Witherite:0 "Witherite"
 MYSTICAL1_CLASS_Zultanite:0 "Zultanite"
