 MYSTICAL1_FLEET_SapphireRobe:0 "Sapphire Robe"
 MYSTICAL1_FLEET_AmethystRobe:0 "Amethyst Robe"
 MYSTICAL1_FLEET_EmeraldRobe:0 "Emerald Robe"
 MYSTICAL1_FLEET_RubyRobe:0 "Ruby Robe"
 MYSTICAL1_FLEET_GarnetRobe:0 "Garnet Robe"
 MYSTICAL1_FLEET_TopazRobe:0 "Topaz Robe"
 MYSTICAL1_FLEET_Lapis LazuliRobe:0 "Lapis Lazuli Robe"
 MYSTICAL1_FLEET_TurquoiseRobe:0 "Turquoise Robe"
 MYSTICAL1_FLEET_AgateRobe:0 "Agate Robe"
 MYSTICAL1_FLEET_OpalRobe:0 "Opal Robe"
 MYSTICAL1_FLEET_BerylRobe:0 "Beryl Robe"
 MYSTICAL1_FLEET_ObsidianRobe:0 "Obsidian Robe"
 MYSTICAL1_FLEET_JasperRobe:0 "Jasper Robe"
 MYSTICAL1_xxFLEET_ORD:0 "$0$ Robe"
