 MYSTICAL1_PLANET_GraniteBarony:0 "Granite Barony"
 MYSTICAL1_PLANET_GraniteCounty:0 "Granite County"
 MYSTICAL1_PLANET_GraniteDuchy:0 "Granite Duchy"
 MYSTICAL1_PLANET_GraniteEarldom:0 "Granite Earldom"
 MYSTICAL1_PLANET_GraniteMarch:0 "Granite March"
 MYSTICAL1_PLANET_GraniteManor:0 "Granite Manor"
 MYSTICAL1_PLANET_BasaltBarony:0 "Basalt Barony"
 MYSTICAL1_PLANET_BasaltCounty:0 "Basalt County"
 MYSTICAL1_PLANET_BasaltDuchy:0 "Basalt Duchy"
 MYSTICAL1_PLANET_BasaltEarldom:0 "Basalt Earldom"
 MYSTICAL1_PLANET_BasaltMarch:0 "Basalt March"
 MYSTICAL1_PLANET_BasaltManor:0 "Basalt Manor"
 MYSTICAL1_PLANET_PumiceBarony:0 "Pumice Barony"
 MYSTICAL1_PLANET_PumiceCounty:0 "Pumice County"
 MYSTICAL1_PLANET_PumiceDuchy:0 "Pumice Duchy"
 MYSTICAL1_PLANET_PumiceEarldom:0 "Pumice Earldom"
 MYSTICAL1_PLANET_PumiceMarch:0 "Pumice March"
 MYSTICAL1_PLANET_PumiceManor:0 "Pumice Manor"
 MYSTICAL1_PLANET_ScoriaBarony:0 "Scoria Barony"
 MYSTICAL1_PLANET_ScoriaCounty:0 "Scoria County"
 MYSTICAL1_PLANET_ScoriaDuchy:0 "Scoria Duchy"
 MYSTICAL1_PLANET_ScoriaEarldom:0 "Scoria Earldom"
 MYSTICAL1_PLANET_ScoriaMarch:0 "Scoria March"
 MYSTICAL1_PLANET_ScoriaManor:0 "Scoria Manor"
 MYSTICAL1_PLANET_TuffBarony:0 "Tuff Barony"
 MYSTICAL1_PLANET_TuffCounty:0 "Tuff County"
 MYSTICAL1_PLANET_TuffDuchy:0 "Tuff Duchy"
 MYSTICAL1_PLANET_TuffEarldom:0 "Tuff Earldom"
 MYSTICAL1_PLANET_TuffMarch:0 "Tuff March"
 MYSTICAL1_PLANET_TuffManor:0 "Tuff Manor"
 MYSTICAL1_PLANET_ChalkBarony:0 "Chalk Barony"
 MYSTICAL1_PLANET_ChalkCounty:0 "Chalk County"
 MYSTICAL1_PLANET_ChalkDuchy:0 "Chalk Duchy"
 MYSTICAL1_PLANET_ChalkEarldom:0 "Chalk Earldom"
 MYSTICAL1_PLANET_ChalkMarch:0 "Chalk March"
 MYSTICAL1_PLANET_ChalkManor:0 "Chalk Manor"
 MYSTICAL1_PLANET_ClaystoneBarony:0 "Claystone Barony"
 MYSTICAL1_PLANET_ClaystoneCounty:0 "Claystone County"
 MYSTICAL1_PLANET_ClaystoneDuchy:0 "Claystone Duchy"
 MYSTICAL1_PLANET_ClaystoneEarldom:0 "Claystone Earldom"
 MYSTICAL1_PLANET_ClaystoneMarch:0 "Claystone March"
 MYSTICAL1_PLANET_ClaystoneManor:0 "Claystone Manor"
 MYSTICAL1_PLANET_FlintBarony:0 "Flint Barony"
 MYSTICAL1_PLANET_FlintCounty:0 "Flint County"
 MYSTICAL1_PLANET_FlintDuchy:0 "Flint Duchy"
 MYSTICAL1_PLANET_FlintEarldom:0 "Flint Earldom"
 MYSTICAL1_PLANET_FlintMarch:0 "Flint March"
 MYSTICAL1_PLANET_FlintManor:0 "Flint Manor"
 MYSTICAL1_PLANET_MarlBarony:0 "Marl Barony"
 MYSTICAL1_PLANET_MarlCounty:0 "Marl County"
 MYSTICAL1_PLANET_MarlDuchy:0 "Marl Duchy"
 MYSTICAL1_PLANET_MarlEarldom:0 "Marl Earldom"
 MYSTICAL1_PLANET_MarlMarch:0 "Marl March"
 MYSTICAL1_PLANET_MarlManor:0 "Marl Manor"
 MYSTICAL1_PLANET_MarbleBarony:0 "Marble Barony"
 MYSTICAL1_PLANET_MarbleCounty:0 "Marble County"
 MYSTICAL1_PLANET_MarbleDuchy:0 "Marble Duchy"
 MYSTICAL1_PLANET_MarbleEarldom:0 "Marble Earldom"
 MYSTICAL1_PLANET_MarbleMarch:0 "Marble March"
 MYSTICAL1_PLANET_MarbleManor:0 "Marble Manor"
 MYSTICAL1_PLANET_SkarnBarony:0 "Skarn Barony"
 MYSTICAL1_PLANET_SkarnCounty:0 "Skarn County"
 MYSTICAL1_PLANET_SkarnDuchy:0 "Skarn Duchy"
 MYSTICAL1_PLANET_SkarnEarldom:0 "Skarn Earldom"
 MYSTICAL1_PLANET_SkarnMarch:0 "Skarn March"
 MYSTICAL1_PLANET_SkarnManor:0 "Skarn Manor"
 MYSTICAL1_PLANET_SlateBarony:0 "Slate Barony"
 MYSTICAL1_PLANET_SlateCounty:0 "Slate County"
 MYSTICAL1_PLANET_SlateDuchy:0 "Slate Duchy"
 MYSTICAL1_PLANET_SlateEarldom:0 "Slate Earldom"
 MYSTICAL1_PLANET_SlateMarch:0 "Slate March"
 MYSTICAL1_PLANET_SlateManor:0 "Slate Manor"
