 MYSTICAL1_SHIP_LordOFCopper:0 "Lord of Copper"
 MYSTICAL1_SHIP_LordOFPewter:0 "Lord of Pewter"
 MYSTICAL1_SHIP_LordOFIron:0 "Lord of Iron"
 MYSTICAL1_SHIP_LordOFNickel:0 "Lord of Nickel"
 MYSTICAL1_SHIP_LordOFTungsten:0 "Lord of Tungsten"
 MYSTICAL1_SHIP_LordOFZinc:0 "Lord of Zinc"
 MYSTICAL1_SHIP_LordOFTitanium:0 "Lord of Titanium"
 MYSTICAL1_SHIP_LordOFCobalt:0 "Lord of Cobalt"
 MYSTICAL1_SHIP_LordOFSilver:0 "Lord of Silver"
 MYSTICAL1_SHIP_LordOFPlatinum:0 "Lord of Platinum"
 MYSTICAL1_SHIP_LordOFGold:0 "Lord of Gold"
 MYSTICAL1_SHIP_LordOFTin:0 "Lord of Tin"
 MYSTICAL1_SHIP_LordOFLead:0 "Lord of Lead"
 MYSTICAL1_SHIP_LordOFAluminum:0 "Lord of Aluminum"
 MYSTICAL1_SHIP_LadyOFCopper:0 "Lady of Copper"
 MYSTICAL1_SHIP_LadyOFPewter:0 "Lady of Pewter"
 MYSTICAL1_SHIP_LadyOFIron:0 "Lady of Iron"
 MYSTICAL1_SHIP_LadyOFNickel:0 "Lady of Nickel"
 MYSTICAL1_SHIP_LadyOFTungsten:0 "Lady of Tungsten"
 MYSTICAL1_SHIP_LadyOFZinc:0 "Lady of Zinc"
 MYSTICAL1_SHIP_LadyOFTitanium:0 "Lady of Titanium"
 MYSTICAL1_SHIP_LadyOFCobalt:0 "Lady of Cobalt"
 MYSTICAL1_SHIP_LadyOFSilver:0 "Lady of Silver"
 MYSTICAL1_SHIP_LadyOFPlatinum:0 "Lady of Platinum"
 MYSTICAL1_SHIP_LadyOFGold:0 "Lady of Gold"
 MYSTICAL1_SHIP_LadyOFTin:0 "Lady of Tin"
 MYSTICAL1_SHIP_LadyOFLead:0 "Lady of Lead"
 MYSTICAL1_SHIP_LadyOFAluminum:0 "Lady of Aluminum"
 MYSTICAL1_SHIP_BaronOFCopper:0 "Baron of Copper"
 MYSTICAL1_SHIP_BaronOFPewter:0 "Baron of Pewter"
 MYSTICAL1_SHIP_BaronOFIron:0 "Baron of Iron"
 MYSTICAL1_SHIP_BaronOFNickel:0 "Baron of Nickel"
 MYSTICAL1_SHIP_BaronOFTungsten:0 "Baron of Tungsten"
 MYSTICAL1_SHIP_BaronOFZinc:0 "Baron of Zinc"
 MYSTICAL1_SHIP_BaronOFTitanium:0 "Baron of Titanium"
 MYSTICAL1_SHIP_BaronOFCobalt:0 "Baron of Cobalt"
 MYSTICAL1_SHIP_BaronOFSilver:0 "Baron of Silver"
 MYSTICAL1_SHIP_BaronOFPlatinum:0 "Baron of Platinum"
 MYSTICAL1_SHIP_BaronOFGold:0 "Baron of Gold"
 MYSTICAL1_SHIP_BaronOFTin:0 "Baron of Tin"
 MYSTICAL1_SHIP_BaronOFLead:0 "Baron of Lead"
 MYSTICAL1_SHIP_BaronOFAluminum:0 "Baron of Aluminum"
 MYSTICAL1_SHIP_BaronessOFCopper:0 "Baroness of Copper"
 MYSTICAL1_SHIP_BaronessOFPewter:0 "Baroness of Pewter"
 MYSTICAL1_SHIP_BaronessOFIron:0 "Baroness of Iron"
 MYSTICAL1_SHIP_BaronessOFNickel:0 "Baroness of Nickel"
 MYSTICAL1_SHIP_BaronessOFTungsten:0 "Baroness of Tungsten"
 MYSTICAL1_SHIP_BaronessOFZinc:0 "Baroness of Zinc"
 MYSTICAL1_SHIP_BaronessOFTitanium:0 "Baroness of Titanium"
 MYSTICAL1_SHIP_BaronessOFCobalt:0 "Baroness of Cobalt"
 MYSTICAL1_SHIP_BaronessOFSilver:0 "Baroness of Silver"
 MYSTICAL1_SHIP_BaronessOFPlatinum:0 "Baroness of Platinum"
 MYSTICAL1_SHIP_BaronessOFGold:0 "Baroness of Gold"
 MYSTICAL1_SHIP_BaronessOFTin:0 "Baroness of Tin"
 MYSTICAL1_SHIP_BaronessOFLead:0 "Baroness of Lead"
 MYSTICAL1_SHIP_BaronessOFAluminum:0 "Baroness of Aluminum"
 MYSTICAL1_SHIP_CountOFCopper:0 "Count of Copper"
